step,time,mass,mass_drift,min_psihat,neg_mass,fp_tol_used
0,0.0,5.8904858688099075,0.0,0.9198944726542189,0.0,n/a
1,0.001,5.8904858688118633e+00,3.3202165725164744e-13,8.4123475893775912e-01,0.0000000000000000e+00,1.0e-02
2,0.002,5.8904858688138573e+00,6.7052693451320441e-13,7.3638399192297976e-01,0.0000000000000000e+00,1.0e-02
3,0.003,5.8904858688158850e+00,1.0147619224811931e-12,5.9899228368537194e-01,0.0000000000000000e+00,1.0e-02
4,0.004,5.8904858688179429e+00,1.3641234937128312e-12,4.3491323304499530e-01,0.0000000000000000e+00,1.0e-02
5,0.005,5.8904858688200292e+00,1.7183100844867277e-12,2.5453813211276388e-01,0.0000000000000000e+00,1.0e-02
6,0.006,5.8904858688221431e+00,2.0771709129421869e-12,8.7303071458439213e-02,0.0000000000000000e+00,1.0e-02
7,0.007,5.8904858688242818e+00,2.4402536334971219e-12,6.7860854124734641e-03,0.0000000000000000e+00,1.0e-02
8,0.008,5.8904858688264463e+00,2.8077090280122285e-12,7.8028343517449004e-03,0.0000000000000000e+00,1.0e-02
9,0.009000000000000001,5.8904858688286330e+00,3.1789339690447244e-12,8.0445510018823611e-03,0.0000000000000000e+00,1.0e-02
10,0.01,5.8904858688308437e+00,3.5542300203160004e-12,7.7261767666698200e-03,0.0000000000000000e+00,1.0e-02
11,0.011,5.8904858688330712e+00,3.9323909269404931e-12,8.9569899967793382e-03,0.0000000000000000e+00,1.0e-02
12,0.012,5.8904858688353201e+00,4.3141705982216783e-12,7.1646373909253110e-03,0.0000000000000000e+00,1.0e-02
13,0.013000000000000001,5.8904858688376027e+00,4.7016799802092961e-12,-2.1157317503894602e-02,-1.6339273746272297e-18,1.0e-02
14,0.014,5.8904858688399155e+00,5.0943159454605634e-12,-6.9731927639961333e-03,-2.5123746143745255e-19,1.0e-02
15,0.015,5.8904858688422514e+00,5.4908722390899147e-12,-3.3433459002231276e-02,-2.0759813804912045e-18,1.0e-02
16,0.016,5.8904858688446060e+00,5.8905949517938739e-12,2.1720156106266493e-03,0.0000000000000000e+00,1.0e-02
17,0.017,5.8904858688469890e+00,6.2951426840400906e-12,1.9562270755276185e-03,0.0000000000000000e+00,1.0e-02
18,0.018000000000000002,5.8904858688494031e+00,6.7049677814106532e-12,1.9091878471652578e-03,0.0000000000000000e+00,1.0e-02
19,0.019,5.8904858688518420e+00,7.1190147708806909e-12,-2.6467101692618997e-03,-1.0158130368924156e-19,1.0e-02
20,0.02,5.8904858688543085e+00,7.5377359980322915e-12,2.0354957087241159e-03,0.0000000000000000e+00,1.0e-02
21,0.021,5.8904858688567971e+00,7.9602267717012813e-12,2.1542297186122085e-03,0.0000000000000000e+00,1.0e-02
22,0.022,5.8904858688593098e+00,8.3867886556090524e-12,2.3016591221169235e-03,0.0000000000000000e+00,1.0e-02
23,0.023,5.8904858688618464e+00,8.8174216497556032e-12,2.4722009535659405e-03,0.0000000000000000e+00,1.0e-02
24,0.024,5.8904858688644062e+00,9.2519749722802389e-12,2.6585167462364456e-03,0.0000000000000000e+00,1.0e-02
25,0.025,5.8904858688669881e+00,9.6902978413222647e-12,2.8530905992527854e-03,0.0000000000000000e+00,1.0e-02
26,0.026000000000000002,5.8904858688695931e+00,1.0132541038742374e-11,3.0499573179859577e-03,0.0000000000000000e+00,1.0e-02
27,0.027,5.8904858688722213e+00,1.0578704564540569e-11,3.2455373420138657e-03,0.0000000000000000e+00,1.0e-02
28,0.028,5.8904858688748707e+00,1.1028486854995457e-11,3.4383277647498725e-03,0.0000000000000000e+00,1.0e-02
29,0.029,5.8904858688775414e+00,1.1481887910107038e-11,3.6276975224572494e-03,0.0000000000000000e+00,1.0e-02
30,0.03,5.8904858688802335e+00,1.1938907729875315e-11,3.8125350784170894e-03,0.0000000000000000e+00,1.0e-02
31,0.031,5.8904858688829478e+00,1.2399697096160981e-11,3.9903848316098934e-03,0.0000000000000000e+00,1.0e-02
32,0.032,5.8904858688856834e+00,1.2864105227103340e-11,4.1575108053497969e-03,0.0000000000000000e+00,1.0e-02
33,0.033,5.8904858688884385e+00,1.3331830558981000e-11,4.3096768003637893e-03,0.0000000000000000e+00,1.0e-02
34,0.034,5.8904858688912149e+00,1.3803174655515355e-11,4.4431444378441251e-03,0.0000000000000000e+00,1.0e-02
35,0.035,5.8904858688940109e+00,1.4277835952985013e-11,4.5554230096210048e-03,0.0000000000000000e+00,1.0e-02
36,0.036000000000000004,5.8904858688968256e+00,1.4755663669529277e-11,4.6453876591438020e-03,0.0000000000000000e+00,1.0e-02
37,0.037,5.8904858688996571e+00,1.5236356241426757e-11,4.7129804452877375e-03,0.0000000000000000e+00,1.0e-02
38,0.038,5.8904858689024993e+00,1.5718858195652586e-11,4.7586606171182780e-03,0.0000000000000000e+00,1.0e-02
39,0.039,5.8904858689053796e+00,1.6207843769888323e-11,-2.0156368615260024e-02,-7.9231700825803342e-19,1.0e-02
40,0.04,5.8904858689082742e+00,1.6699241853895188e-11,-3.8469247026932551e-02,-1.3860101525313523e-18,1.0e-02
41,0.041,5.8904858689111750e+00,1.7191695410926924e-11,4.7648198156137554e-03,0.0000000000000000e+00,1.0e-02
42,0.042,5.8904858689141051e+00,1.7689124769361613e-11,4.7223641260390791e-03,0.0000000000000000e+00,1.0e-02
43,0.043000000000000003,5.8904858689170698e+00,1.8192434620363429e-11,-5.0802755972053984e-03,-3.7871738364178310e-19,1.0e-02
44,0.044,5.8904858689200452e+00,1.8697553853693590e-11,-2.5998381291376244e-03,-1.0971129124392426e-19,1.0e-02
45,0.045,5.8904858689230331e+00,1.9204784033073493e-11,4.4631763830752175e-03,0.0000000000000000e+00,1.0e-02
46,0.046,5.8904858689260404e+00,1.9715331413388694e-11,4.3371343951819257e-03,0.0000000000000000e+00,1.0e-02
47,0.047,5.8904858689290673e+00,2.0229195994639203e-11,4.1949131621377292e-03,0.0000000000000000e+00,1.0e-02
48,0.048,5.8904858689321102e+00,2.0745774649382227e-11,4.0394570205208504e-03,0.0000000000000000e+00,1.0e-02
49,0.049,5.8904858689351700e+00,2.1265218159478471e-11,3.8743569209926812e-03,0.0000000000000000e+00,1.0e-02
50,0.05,5.8904858689382458e+00,2.1787375743067233e-11,3.7037081014896405e-03,0.0000000000000000e+00,1.0e-02
51,0.051000000000000004,5.8904858689413349e+00,2.2311795054566430e-11,3.5322881061132750e-03,0.0000000000000000e+00,1.0e-02
52,0.052000000000000005,5.8904858689444435e+00,2.2839531567000928e-11,3.3652862068178019e-03,0.0000000000000000e+00,1.0e-02
53,0.053,5.8904858689475654e+00,2.3369529807345861e-11,3.2079773651376969e-03,0.0000000000000000e+00,1.0e-02
54,0.054,5.8904858689507043e+00,2.3902392903044010e-11,3.0651106947852651e-03,0.0000000000000000e+00,1.0e-02
55,0.055,5.8904858689538582e+00,2.4437819290373979e-11,2.9402406531682610e-03,0.0000000000000000e+00,1.0e-02
56,0.056,5.8904858689570272e+00,2.4975808969335780e-11,2.8352628841814189e-03,0.0000000000000000e+00,1.0e-02
57,0.057,5.8904858689602104e+00,2.5516211158068706e-11,2.7503366089661682e-03,0.0000000000000000e+00,1.0e-02
58,0.058,5.8904858689634061e+00,2.6058724292851368e-11,2.6842235255162168e-03,0.0000000000000000e+00,1.0e-02
