step,time,mass,drift,min_psihat,neg_mass_psihat,fp_tol_used
1,0.002,5.890252917118852,0.0,1.0,0.0,0.001
2,0.004,5.890252917118852,0.0,1.0,0.0,0.001
3,0.006,5.890252917118852,0.0,1.0,0.0,0.001
4,0.008,5.890252917118852,0.0,1.0,0.0,0.001
5,0.01,5.890252917118852,0.0,1.0,0.0,0.001
6,0.012,5.890252917118852,0.0,1.0,0.0,0.001
7,0.014,5.890252917118852,0.0,1.0,0.0,0.001
8,0.016,5.890252917118852,0.0,1.0,0.0,0.001
9,0.018000000000000002,5.890252917118852,0.0,1.0,0.0,0.001
10,0.02,5.890252917118852,0.0,1.0,0.0,0.001
11,0.022,5.890252917118852,0.0,1.0,0.0,0.001
12,0.024,5.890252917118852,0.0,1.0,0.0,0.001
13,0.026000000000000002,5.890252917118852,0.0,1.0,0.0,0.001
14,0.028,5.890252917118852,0.0,1.0,0.0,0.001
15,0.03,5.890252917118852,0.0,1.0,0.0,0.001
16,0.032,5.890252917118852,0.0,1.0,0.0,0.001
17,0.034,5.890252917118852,0.0,1.0,0.0,0.001
18,0.036000000000000004,5.890252917118852,0.0,1.0,0.0,0.001
19,0.038,5.890252917118852,0.0,1.0,0.0,0.001
20,0.04,5.890252917118852,0.0,1.0,0.0,0.001
21,0.042,5.890252917118852,0.0,1.0,0.0,0.001
22,0.044,5.890252917118852,0.0,1.0,0.0,0.001
23,0.046,5.890252917118852,0.0,1.0,0.0,0.001
24,0.048,5.890252917118852,0.0,1.0,0.0,0.001
25,0.05,5.890252917118852,0.0,1.0,0.0,0.001
26,0.052000000000000005,5.890252917118852,0.0,1.0,0.0,0.001
27,0.054,5.890252917118852,0.0,1.0,0.0,0.001
28,0.056,5.890252917118852,0.0,1.0,0.0,0.001
29,0.058,5.890252917118852,0.0,1.0,0.0,0.001
30,0.06,5.890252917118852,0.0,1.0,0.0,0.001
31,0.062,5.890252917118852,0.0,1.0,0.0,0.001
32,0.064,5.890252917118852,0.0,1.0,0.0,0.001
33,0.066,5.890252917118852,0.0,1.0,0.0,0.001
34,0.068,5.890252917118852,0.0,1.0,0.0,0.001
35,0.07,5.890252917118852,0.0,1.0,0.0,0.001
36,0.07200000000000001,5.890252917118852,0.0,1.0,0.0,0.001
37,0.074,5.890252917118852,0.0,1.0,0.0,0.001
38,0.076,5.890252917118852,0.0,1.0,0.0,0.001
39,0.078,5.890252917118852,0.0,1.0,0.0,0.001
40,0.08,5.890252917118852,0.0,1.0,0.0,0.001
41,0.082,5.890252917118852,0.0,1.0,0.0,0.001
42,0.084,5.890252917118852,0.0,1.0,0.0,0.001
43,0.08600000000000001,5.890252917118852,0.0,1.0,0.0,0.001
44,0.088,5.890252917118852,0.0,1.0,0.0,0.001
45,0.09,5.890252917118852,0.0,1.0,0.0,0.001
46,0.092,5.890252917118852,0.0,1.0,0.0,0.001
47,0.094,5.890252917118852,0.0,1.0,0.0,0.001
48,0.096,5.890252917118852,0.0,1.0,0.0,0.001
49,0.098,5.890252917118852,0.0,1.0,0.0,0.001
50,0.1,5.890252917118852,0.0,1.0,0.0,0.001
51,0.10200000000000001,5.890252917118852,0.0,1.0,0.0,0.001
52,0.10400000000000001,5.890252917118852,0.0,1.0,0.0,0.001
53,0.106,5.890252917118852,0.0,1.0,0.0,0.001
54,0.108,5.890252917118852,0.0,1.0,0.0,0.001
55,0.11,5.890252917118852,0.0,1.0,0.0,0.001
56,0.112,5.890252917118852,0.0,1.0,0.0,0.001
57,0.114,5.890252917118852,0.0,1.0,0.0,0.001
58,0.116,5.890252917118852,0.0,1.0,0.0,0.001
59,0.11800000000000001,5.890252917118852,0.0,1.0,0.0,0.001
60,0.12,5.890252917118852,0.0,1.0,0.0,0.001
61,0.122,5.890252917118852,0.0,1.0,0.0,0.001
62,0.124,5.890252917118852,0.0,1.0,0.0,0.001
63,0.126,5.890252917118852,0.0,1.0,0.0,0.001
64,0.128,5.890252917118852,0.0,1.0,0.0,0.001
65,0.13,5.890252917118852,0.0,1.0,0.0,0.001
66,0.132,5.890252917118852,0.0,1.0,0.0,0.001
67,0.134,5.890252917118852,0.0,1.0,0.0,0.001
68,0.136,5.890252917118852,0.0,1.0,0.0,0.001
69,0.138,5.890252917118852,0.0,1.0,0.0,0.001
70,0.14,5.890252917118852,0.0,1.0,0.0,0.001
71,0.14200000000000002,5.890252917118852,0.0,1.0,0.0,0.001
72,0.14400000000000002,5.890252917118852,0.0,1.0,0.0,0.001
73,0.146,5.890252917118852,0.0,1.0,0.0,0.001
74,0.148,5.890252917118852,0.0,1.0,0.0,0.001
75,0.15,5.890252917118852,0.0,1.0,0.0,0.001
76,0.152,5.890252917118852,0.0,1.0,0.0,0.001
77,0.154,5.890252917118852,0.0,1.0,0.0,0.001
78,0.156,5.890252917118852,0.0,1.0,0.0,0.001
79,0.158,5.890252917118852,0.0,1.0,0.0,0.001
80,0.16,5.890252917118852,0.0,1.0,0.0,0.001
81,0.162,5.890252917118852,0.0,1.0,0.0,0.001
82,0.164,5.890252917118852,0.0,1.0,0.0,0.001
83,0.166,5.890252917118852,0.0,1.0,0.0,0.001
84,0.168,5.890252917118852,0.0,1.0,0.0,0.001
85,0.17,5.890252917118852,0.0,1.0,0.0,0.001
86,0.17200000000000001,5.890252917118852,0.0,1.0,0.0,0.001
87,0.17400000000000002,5.890252917118852,0.0,1.0,0.0,0.001
88,0.176,5.890252917118852,0.0,1.0,0.0,0.001
89,0.178,5.890252917118852,0.0,1.0,0.0,0.001
90,0.18,5.890252917118852,0.0,1.0,0.0,0.001
91,0.182,5.890252917118852,0.0,1.0,0.0,0.001
92,0.184,5.890252917118852,0.0,1.0,0.0,0.001
93,0.186,5.890252917118852,0.0,1.0,0.0,0.001
94,0.188,5.890252917118852,0.0,1.0,0.0,0.001
95,0.19,5.890252917118852,0.0,1.0,0.0,0.001
96,0.192,5.890252917118852,0.0,1.0,0.0,0.001
97,0.194,5.890252917118852,0.0,1.0,0.0,0.001
98,0.196,5.890252917118852,0.0,1.0,0.0,0.001
99,0.198,5.890252917118852,0.0,1.0,0.0,0.001
100,0.2,5.890252917118852,0.0,1.0,0.0,0.001
101,0.202,5.890252917118852,0.0,1.0,0.0,0.001
102,0.20400000000000001,5.890252917118852,0.0,1.0,0.0,0.001
103,0.20600000000000002,5.890252917118852,0.0,1.0,0.0,0.001
104,0.20800000000000002,5.890252917118852,0.0,1.0,0.0,0.001
105,0.21,5.890252917118852,0.0,1.0,0.0,0.001
106,0.212,5.890252917118852,0.0,1.0,0.0,0.001
107,0.214,5.890252917118852,0.0,1.0,0.0,0.001
108,0.216,5.890252917118852,0.0,1.0,0.0,0.001
109,0.218,5.890252917118852,0.0,1.0,0.0,0.001
110,0.22,5.890252917118852,0.0,1.0,0.0,0.001
111,0.222,5.890252917118852,0.0,1.0,0.0,0.001
112,0.224,5.890252917118852,0.0,1.0,0.0,0.001
113,0.226,5.890252917118852,0.0,1.0,0.0,0.001
114,0.228,5.890252917118852,0.0,1.0,0.0,0.001
115,0.23,5.890252917118852,0.0,1.0,0.0,0.001
116,0.232,5.890252917118852,0.0,1.0,0.0,0.001
117,0.234,5.890252917118852,0.0,1.0,0.0,0.001
118,0.23600000000000002,5.890252917118852,0.0,1.0,0.0,0.001
119,0.23800000000000002,5.890252917118852,0.0,1.0,0.0,0.001
120,0.24,5.890252917118852,0.0,1.0,0.0,0.001
121,0.242,5.890252917118852,0.0,1.0,0.0,0.001
122,0.244,5.890252917118852,0.0,1.0,0.0,0.001
123,0.246,5.890252917118852,0.0,1.0,0.0,0.001
124,0.248,5.890252917118852,0.0,1.0,0.0,0.001
125,0.25,5.890252917118852,0.0,1.0,0.0,0.001
126,0.252,5.890252917118852,0.0,1.0,0.0,0.001
127,0.254,5.890252917118852,0.0,1.0,0.0,0.001
128,0.256,5.890252917118852,0.0,1.0,0.0,0.001
129,0.258,5.890252917118852,0.0,1.0,0.0,0.001
130,0.26,5.890252917118852,0.0,1.0,0.0,0.001
