dt,min_psihat,neg_mass_psihat
0.002,0.9222067335655821,0.0
0.002,-2439178.4383631474,-0.0014604456616444004
0.002,-2241119.9032609784,-0.00168140678439727
0.002,-2954753.103978509,-0.0013411587665576278
0.002,-4017598.991664988,-0.0020330341759124183
0.002,-1957907.958784407,-0.002263964582551637
0.002,-1478099.5793576716,-0.0022520997928556466
0.002,-5398974.697197886,-0.0035720881656134203
0.002,-8647588.25130921,-0.005240260699783355
0.002,-4742884.01495195,-0.004816573138000308
0.002,-6610848.229434593,-0.004668091986722376
0.002,-4756435.920414081,-0.004942150449758231
0.002,-18046195.278268013,-0.007392512871206312
0.002,-8472718.999137085,-0.010890224574253014
0.002,-5679996.88825342,-0.010867765147376656
0.002,-21528068.09423266,-0.01746949975411967
0.002,-12730472.220308566,-0.022998353477195557
0.002,-6045964.286638136,-0.02212714509793709
0.002,-19525974.24002586,-0.021624822531990592
0.002,-18319825.100737453,-0.024679420929417533
0.002,-14441993.97987964,-0.026263962948509176
0.002,-9192723.553498197,-0.028716465653006708
0.002,-10402368.361933177,-0.03862728351265145
0.002,-5025811.424936372,-0.03939329745882416
0.002,-16805342.1537904,-0.042428899382731526
0.002,-34648147.93551049,-0.051133573565695326
0.002,-11328157.849756902,-0.05133307563777987
0.002,-19429066.417429905,-0.05714578968247576
0.002,-8685630.885928662,-0.059414017789431825
0.002,-5377576.966105544,-0.057744106998501174
0.002,-6628433.347497196,-0.05617465265078189
0.002,-30272591.290826768,-0.06356969177032876
0.002,-7136275.151448075,-0.06752745520870293
0.002,-20563088.34885589,-0.06831955958784883
0.002,-21277017.0125028,-0.07102528271359071
0.002,-7620768.878403919,-0.07247583939192634
0.002,-29915272.955214657,-0.07517766545067847
0.002,-12850189.57035861,-0.08277520052063556
0.002,-51640581.31779146,-0.08232573017096281
0.002,-18844749.655136462,-0.08527261426774316
0.002,-23011627.289384607,-0.0874368113752251
0.002,-16618581.682504933,-0.09231342917314095
0.002,-14683560.712704185,-0.09197263150858681
0.002,-18271059.452821113,-0.09680549432171985
0.002,-12322408.840570934,-0.09318892512431373
0.002,-7527416.228920117,-0.09396002238555812
0.002,-12164684.652143,-0.10362405564699215
0.002,-13526841.61409344,-0.10661509490818863
0.002,-7447211.999742282,-0.10291144715770148
0.002,-15235385.128525127,-0.10440077506346473
0.002,-18414475.178032745,-0.10857003230096413
0.002,-13743931.55723485,-0.1100138481979103
0.002,-5964311.259537543,-0.1091495912635741
0.002,-54480261.68764843,-0.10704871278384216
0.002,-18382237.79598296,-0.11407743073291642
0.002,-42699650.30436317,-0.11902262264194682
0.002,-3403749.2030193396,-0.1159582589897045
0.002,-3293067.9056529324,-0.11316718608996894
0.002,-2444617.021295758,-0.11026826547269516
0.002,-5049092.228452714,-0.10745864221119966
0.002,-9300655.502015367,-0.10681409606640017
0.002,-24316422.13654258,-0.12196064443606944
0.002,-17553711.877265003,-0.1257508684205661
0.002,-8317029.9748420585,-0.1250117707408296
0.002,-4911807.846303728,-0.12203181670056593
0.002,-33494498.27247691,-0.13170214567389904
0.002,-5611306.765522389,-0.13201984317025392
0.002,-9286373.415281815,-0.13086804151146786
0.002,-25965296.86411892,-0.13765181996075623
0.002,-29132817.807321038,-0.13645949740540497
0.002,-24285087.07051428,-0.13908746788100862
0.002,-4576848.297160622,-0.1351047294204547
0.002,-7682567.957365347,-0.13561469347404492
0.002,-12548859.244198734,-0.13469338678006043
0.002,-14900785.538526438,-0.13608814007193376
0.002,-17199384.283295896,-0.13564402348850987
0.002,-7834092.192366341,-0.1395183978568988
0.002,-21321977.841561545,-0.14281149124487874
0.002,-19085741.90255747,-0.14808643463642823
0.002,-17894603.88077636,-0.14895393964224385
0.002,-9240749.822464453,-0.14544044504088377
0.002,-19470718.925678767,-0.14301293520060873
0.002,-7323204.911834257,-0.14150015376831965
0.002,-9787507.167133128,-0.1422776474063101
0.002,-21414389.461437628,-0.14294965238672308
0.002,-7271599.802551666,-0.140345430403309
0.002,-8488543.008051142,-0.13736795984484762
0.002,-56004328.955301754,-0.13931395939829036
0.002,-22344350.10990137,-0.14618541282946157
0.002,-7420310.430937867,-0.149967621057613
0.002,-14199619.347494366,-0.16014495249749702
0.002,-5325729.517927557,-0.15625667027421924
0.002,-9454703.521002214,-0.15603510907015689
0.002,-57057774.563063934,-0.1557323632643794
0.002,-6782555.807392481,-0.15269292798588457
0.002,-22280795.41071961,-0.15586963347227936
0.002,-8408907.88073431,-0.15421240569317984
0.002,-30750751.149435848,-0.15585237182294223
0.002,-8414704.038033178,-0.15596239382168695
0.002,-9810915.67042941,-0.15362754761887953
0.002,-4229263.24212693,-0.15318959210337518
0.002,-4705201.440244773,-0.15166661671290932
0.002,-29001904.3238353,-0.15497900307860474
0.002,-11595008.679030573,-0.15492045199942897
0.002,-6120193.250089513,-0.15480837903799016
0.002,-4793141.770184939,-0.15156609043287067
0.002,-36184831.474767394,-0.15370043603499747
0.002,-54470771.394660525,-0.1541643829532719
0.002,-17579067.733028386,-0.15289017320147058
0.002,-6394699.827431567,-0.16485035212277338
0.002,-17144608.56983502,-0.16953049481616533
0.002,-12989521.651468603,-0.16801019700808695
0.002,-14613284.342308462,-0.17603115924081936
0.002,-18204521.780809484,-0.18139303470777246
0.002,-17532619.42141586,-0.18451160261909783
